"","x"
"1","i"
"2","me"
"3","my"
"4","myself"
"5","we"
"6","our"
"7","ours"
"8","ourselves"
"9","you"
"10","your"
"11","yours"
"12","yourself"
"13","yourselves"
"14","he"
"15","him"
"16","his"
"17","himself"
"18","she"
"19","her"
"20","hers"
"21","herself"
"22","it"
"23","its"
"24","itself"
"25","they"
"26","them"
"27","their"
"28","theirs"
"29","themselves"
"30","what"
"31","which"
"32","who"
"33","whom"
"34","this"
"35","that"
"36","these"
"37","those"
"38","am"
"39","is"
"40","are"
"41","was"
"42","were"
"43","be"
"44","been"
"45","being"
"46","have"
"47","has"
"48","had"
"49","having"
"50","do"
"51","does"
"52","did"
"53","doing"
"54","would"
"55","should"
"56","could"
"57","ought"
"58","i'm"
"59","you're"
"60","he's"
"61","she's"
"62","it's"
"63","we're"
"64","they're"
"65","i've"
"66","you've"
"67","we've"
"68","they've"
"69","i'd"
"70","you'd"
"71","he'd"
"72","she'd"
"73","we'd"
"74","they'd"
"75","i'll"
"76","you'll"
"77","he'll"
"78","she'll"
"79","we'll"
"80","they'll"
"81","isn't"
"82","aren't"
"83","wasn't"
"84","weren't"
"85","hasn't"
"86","haven't"
"87","hadn't"
"88","doesn't"
"89","don't"
"90","didn't"
"91","won't"
"92","wouldn't"
"93","shan't"
"94","shouldn't"
"95","can't"
"96","cannot"
"97","couldn't"
"98","mustn't"
"99","let's"
"100","that's"
"101","who's"
"102","what's"
"103","here's"
"104","there's"
"105","when's"
"106","where's"
"107","why's"
"108","how's"
"109","a"
"110","an"
"111","the"
"112","and"
"113","but"
"114","if"
"115","or"
"116","because"
"117","as"
"118","until"
"119","while"
"120","of"
"121","at"
"122","by"
"123","for"
"124","with"
"125","about"
"126","against"
"127","between"
"128","into"
"129","through"
"130","during"
"131","before"
"132","after"
"133","above"
"134","below"
"135","to"
"136","from"
"137","up"
"138","down"
"139","in"
"140","out"
"141","on"
"142","off"
"143","over"
"144","under"
"145","again"
"146","further"
"147","then"
"148","once"
"149","here"
"150","there"
"151","when"
"152","where"
"153","why"
"154","how"
"155","all"
"156","any"
"157","both"
"158","each"
"159","few"
"160","more"
"161","most"
"162","other"
"163","some"
"164","such"
"165","only"
"166","own"
"167","same"
"168","so"
"169","than"
"170","too"
"171","very"
